index  pupil(a)  pupil(b)  pupil(cx)  pupil(cy)  pupil(theta)  cr(cx)  cr(cy)  cr(r)  scene(x)  scene(y)
  314      9.55      6.95      55.39      51.39          1.19   73.14   53.96   11.0     -8.85    111.72
  315     12.03     10.12      49.90      37.19          0.45   64.71   62.36    6.0    230.86   1348.05
  316     11.54      9.10      61.75      38.19         -0.95   59.73   25.45   17.0    418.30   1698.00
  317     15.20     12.67      62.12      35.46          0.87   71.73   48.18   17.0     56.49    125.07
  318      5.27      4.99      60.69      40.39         -0.08   72.93   45.27    5.0     33.14     35.84
  319     14.05      9.49      60.90      41.00          1.35   71.20   48.60   15.0     37.50     13.43
  320     12.14      9.49      53.32      37.15          0.20   69.77   49.52   12.0     -8.14    204.69
  321      9.32      6.93      48.03      41.03          1.01   60.07   27.37   14.0    431.33   1542.43
  322      7.86      4.66      62.86      46.89          0.16   40.51   49.95   13.0   -228.76    497.29
  323      7.49      6.23      61.69      46.76          1.45   72.50   36.46   12.0    326.15   1097.43
  324     11.98     12.36      57.72      33.46         -0.00   72.83   58.67    5.0    228.55   1361.51
  325     12.87     10.22      50.53      37.35          0.97   68.69   23.56    7.0    369.21   1482.22
  326     11.47     10.06      57.23      40.06         -0.42   63.00   43.00    8.0     81.87     75.65
  327      8.89      6.80      51.27      41.00         -1.36   67.42   28.83   17.0    337.14   1277.97
  328     10.06      8.13      47.38      39.48          0.28   62.33   29.67    4.0    274.31    992.75
  329     12.51     10.27      43.32      41.64         -1.49   35.25   50.25    9.0     -2.29     36.90
  330      9.22      7.28      46.30      45.92          0.50   37.00   51.16   13.0     -7.96    121.82
  331     16.27     14.55      61.67      45.71         -0.04   44.11   53.87   16.0   -146.85    169.54
  332     12.86      9.10      49.43      35.44         -0.51   68.72   49.65   18.0    -32.13    359.27
  333     12.25     11.93      54.57      32.32         -0.59   59.41   44.34    8.0     69.19     58.73
  334     13.17     10.65      46.80      33.43          0.82   65.39   41.10    8.0    -48.71     95.08
  335     13.22     12.87      58.70      31.37          1.28   40.56   42.47   16.0   -152.26    145.94
  336     10.52      9.44      55.53      34.99         -0.54   70.67   19.33    7.0    478.42   1802.98
  337     14.85     11.77      59.41      35.03         -0.52   45.14   45.57    6.0    -83.26     93.77
  338      9.87      9.11      48.24      41.37         -0.17   70.86   31.57    5.0    163.37    949.54
  339      8.30      6.96      47.48      40.69         -0.59   57.28   29.78   11.0    352.20   1190.55
  340      6.96      5.67      46.12      39.66         -0.70   57.50   30.00   18.0    302.43   1011.54
  341     16.75      8.86      45.79      37.62          1.30   36.65   50.70   13.0      3.93     78.96
  342     13.40     10.98      56.16      44.28         -0.95   55.45   28.68   20.0    532.24   2142.31
  343      7.20      5.78      50.32      42.34          0.43   61.98   33.49    8.0    276.18    912.47
  344      8.88      8.82      54.50      51.65         -1.29   53.65   34.06   23.0    614.48   2513.43
  345      8.26      6.93      56.97      49.87         -0.74   45.84   59.22    8.0    -39.02     61.81
  346     13.43     10.47      66.80      51.55         -1.18   48.09   57.46   10.0   -165.23    260.66
  347     15.42     13.16      71.25      35.60          1.20   75.00   63.53    7.0    376.29   1454.24
  348      6.83      5.18      70.77      38.63          1.01   80.73   47.27    6.0     39.11     19.74
  349     11.67     10.19      63.07      34.52         -1.02   80.81   41.74    8.0    -36.21     78.90
  350      9.57      7.35      63.36      40.82         -0.28   72.08   29.18   10.0    381.97   1305.07
  351     11.61      9.05      46.00      42.33         -0.22   71.97   49.15   18.0   -178.38    202.31
  352      8.88      7.73      48.13      38.50         -0.68   50.33   53.67    9.0     96.70    170.41
  353     10.99      9.38      52.96      48.97         -1.06   57.47   32.24   17.0    586.45   2202.90
  354      8.97      6.88      49.81      47.95         -1.09   54.06   38.40   12.0    328.51   1104.22
  355     13.46     12.37      48.47      45.96         -0.62   55.50   60.00    5.0     79.38    156.59
  356     12.85     10.16      57.33      43.85         -1.50   38.06   54.20   10.0   -178.86    167.11
  357     11.49     10.26      57.81      38.50         -1.48   66.37   50.36   16.0     56.60     82.06
  358     12.95     10.78      60.34      47.86         -0.03   68.35   29.74    9.0    637.09   2370.43
  359     11.06      8.41      49.81      35.97         -1.21   69.42   48.58   16.0    -50.20    274.48
  360     14.08      5.63      62.82      30.98         -0.28   39.14   46.57    8.0   -241.65    285.70
  361      7.25      5.31      59.66      37.43          0.66   73.12   27.75    8.0    285.29    990.79
  362      7.95      5.54      58.35      38.90         -1.29   71.00   26.00    5.0    398.75   1422.24
  363      8.15      9.99      62.26      38.78          0.91   55.00   51.00    8.0     18.27     51.86
  364     12.39     10.83      60.60      34.59         -1.09   73.31   47.81    6.0     37.47    187.31
  365      9.14      7.18      48.96      45.00         -1.08   71.25   31.67    8.0    287.03   1383.44
  366     16.72     13.24      49.67      44.38         -1.12   52.76   54.07    9.0     60.74      1.28
  367      9.18      7.71      57.00      54.51          0.58   38.33   55.67    5.0   -125.98    529.51
  368     11.03      9.80      52.90      52.33         -0.67   45.50   67.00    4.0     37.51    121.58
  369     15.64     13.65      51.50      33.24          0.40   64.71   49.43   12.0     63.88    372.17
  370      9.21     10.39      45.05      39.51          1.56   61.40   25.95    6.0    383.99   1468.48
  371     10.92      9.37      51.09      40.19         -0.25   33.75   28.25    5.0    201.16   2075.01
  372      8.43     11.28      54.04      46.55          0.66   41.48   48.44   17.0    -25.00    337.88
  373     10.34      8.70      40.02      49.66         -1.29   65.67   58.67    5.0   -173.47    247.85
  374     12.35     10.10      61.51      35.55          0.28   50.33   61.83    5.0    226.49   1011.33
  375     12.67      8.71      47.42      46.54         -0.35   73.00   47.43    4.0   -124.31    231.43
  376     10.64      9.64      46.67      36.08         -0.42   37.33   52.62   13.0     38.46    204.44
  377     12.35      7.58      50.30      40.75          0.14   36.25   24.75   11.0    411.95   2682.04
  378      5.12      4.46      55.04      46.77          1.15   57.83   30.51   14.0    566.58   2160.92
  379     11.59     10.16      51.55      37.98          0.63   66.03   53.30   10.0     40.86    335.22
  380      7.33      6.56      48.60      39.93         -1.41   60.67   26.92   13.0    407.44   1446.10
  381     11.87      9.67      48.29      39.81         -0.77   39.23   49.31   10.0    -12.47     40.95
  382     13.79     10.17      51.70      46.89          1.45   37.20   28.20    5.0    519.64   3251.67
  383     12.06     10.14      57.88      38.97          0.53   41.24   57.29    7.0    -46.95    321.88
  384      7.29      5.91      55.02      43.49         -1.48   68.92   28.69   15.0    457.79   1687.50
  385     10.98      9.89      59.56      34.07         -0.95   45.00   53.00   10.0      0.63    347.35
  386      9.03      7.38      56.17      37.00          1.05   71.25   22.25    9.0    443.46   1661.81
  387     10.46      9.52      60.48      44.12         -0.61   67.67   28.50    5.0    534.79   1945.11
  388     12.43     10.42      60.47      36.82          0.24   56.46   52.85    6.0     82.05    182.97
  389     14.55     12.70      53.18      33.21         -1.71   68.40   45.08   18.0      3.26    163.58
  390     16.91     12.84      56.70      41.80          1.33   41.29   43.43    4.0    -68.85    416.18
  391     11.53     10.01      60.50      32.47          0.34   66.51   49.60   12.0    119.20    326.99
  392     18.52     15.29      51.53      34.50         -0.19   70.50   20.50    4.0    365.31   1503.68
  393     15.91      9.77      54.89      28.53         -0.21   62.03   43.26   10.0     85.89    193.19
  394      5.64      4.01      55.73      48.02         -0.00   66.50   19.50   11.0   1172.15   4609.45
  395     13.39      8.49      58.55      37.73          0.52   48.19   49.96    8.0    -17.22     69.43
  396      8.14     10.30      58.31      40.48         -1.34   70.08   48.58    8.0     26.40     27.42
  397     13.36     11.55      48.46      38.05          0.96   67.39   46.69   23.0    -54.15    117.34
  398     17.14     14.43      42.79      41.06          0.29   53.68   34.56   22.0    218.98    671.25
  399     14.31     10.50      45.89      34.91          0.79   36.14   49.71    9.0     12.48    132.45
  400     10.87     11.85      48.58      42.01         -0.36   35.47   45.21   17.0    -46.12    273.03
  401      5.40      9.81      52.23      38.22         -0.00   37.93   52.29    6.0    -60.90    137.40
  402     10.05     11.52      65.08      42.07         -0.91   45.95   47.11   22.0   -169.86    306.75
  403     11.37      9.00      66.11      37.99          0.97   59.14   52.55    8.0     40.49    116.65
  404     14.42     11.07      67.22      37.06          0.93   70.77   32.25   21.0    205.45    590.42
  405     14.61     10.81      67.82      41.31          0.25   78.50   48.50    9.0     35.70     14.35
  406     10.69      9.16      65.67      44.74          0.60   77.40   49.14   11.0     40.30     40.88
  407     11.37      8.65      60.57      34.78         -0.13   77.50   48.50    7.0     -3.74    282.76
  408     12.16     10.69      64.51      35.89         -0.00   50.17   23.33    5.0    276.90   2065.07
  409     11.42      8.78      55.13      46.84         -0.94   71.00   31.00    8.0    477.80   1822.57
  410     15.04     12.03      55.88      41.01         -1.10   65.83   58.67    5.0    109.87    424.10
  411     13.28     10.38      52.40      36.58          0.08   64.06   46.77   19.0     29.77     62.63
  412     11.28      9.33      51.84      39.46         -0.67   61.08   25.38   10.0    465.48   1652.37
  413     11.83     10.54      51.00      36.96          0.40   63.67   49.83    5.0     35.21    170.05
  414     14.63     12.23      48.37      33.22         -0.55   61.68   32.18    7.0     87.99    240.80
  415     11.72      8.63      57.82      40.71         -0.69   38.98   39.44   14.0    -95.77    735.27
  416     15.50     12.65      55.70      41.05          1.48   68.64   49.00    9.0     16.70     35.66
  417      7.65      6.86      49.27      43.22          0.41   67.62   51.38    5.0    -45.98     99.84
  418      7.31      5.43      54.93      44.28         -1.29   38.78   54.56   14.0   -117.23    119.36
  419     16.35     15.26      60.23      35.50         -1.33   65.33   34.83   16.0    126.92    252.10
  420      8.87      8.81      63.92      40.63         -1.43   70.43   25.13    8.0    532.13   1939.76
  421     11.11      8.09      61.64      37.22          0.05   74.81   49.92    7.0     29.55    169.49
  422     12.53      9.12      63.44      32.17         -0.76   54.26   48.19    8.0     33.46    179.69
  423      8.39      7.62      50.48      44.17          0.56   71.88   30.88   10.0    301.31   1384.73
  424      8.70      6.81      57.06      45.30          0.89   59.76   34.88   11.0    355.02   1247.43
  425      9.98      8.44      48.66      41.98          1.58   68.50   33.00    3.0    185.59    869.61
  426     11.17     11.78      53.50      33.99          0.31   38.92   52.08   11.0    -13.98    298.55
  427      7.78      8.23      69.31      52.14          1.45   61.36   34.52   21.0    563.11   2763.21
  428     14.99     10.96      50.16      53.49         -0.28   77.96   52.40   17.0   -144.72    325.20
  429     10.30      8.85      51.34      50.73          1.17   60.00   41.00    5.0    321.24   1054.99
  430     16.19     14.41      48.88      35.28         -1.24   53.23   60.80   17.0    302.53   1135.44
  431     14.12     10.85      40.22      48.31          0.26   57.97   31.32   17.0    501.66   1983.42
  432      4.04      3.59      49.62      58.07          1.49   39.86   54.56   18.0     96.11    710.07
  433     16.67     12.87      62.07      50.89          1.32   60.38   69.62   20.0    136.05    362.80
  434     17.67     14.79      66.52      37.41         -0.35   69.43   61.94    9.0    275.62    984.17
  435     16.17     13.11      65.12      37.41         -0.92   77.71   47.29   10.0     21.31     64.96
  436      8.68      9.04      56.24      41.65          0.37   76.38   29.38   16.0    285.82   1258.04
  437     12.97     12.11      60.84      38.33         -0.31   66.79   49.00    5.0     60.52     29.04
  438     16.93     12.27      53.49      40.68         -0.92   70.14   42.96   12.0      8.25    112.00
  439     12.40     10.62      45.44      36.57          0.53   61.38   47.25   19.0    -10.60    129.61
  440     16.40     13.18      56.61      35.57         -1.74   39.31   46.18   11.0   -137.80    134.60
  441      5.54      3.95      70.70      43.97         -0.66   63.35   29.79   16.0    430.25   2098.52
  442     11.59      9.53      66.14      36.71          0.19   80.82   50.00    8.0     18.94    220.59
  443      1.54      1.19      65.39      37.37          1.62   77.09   47.36    6.0     28.86     58.44
  444      6.67      5.64      65.45      43.34         -0.96   73.47   25.47   10.0    625.91   2323.33
  445     14.73     11.07      48.07      53.48         -1.21   74.58   52.87   14.0   -123.43    291.51
  446     13.74     10.38      48.51      49.35          0.42   55.59   64.65    9.0     92.30    223.69
  447     16.19     16.21      61.50      35.63         -0.71   56.50   60.62    7.0    255.72    920.78
  448      9.77      9.64      59.81      34.96         -0.59   73.00   25.00    8.0    296.42   1027.20
  449     14.71     12.42      63.44      48.51         -0.94   70.62   26.46    9.0    826.77   3181.43
  450      9.69      6.20      42.40      34.58         -0.83   72.43   45.28   17.0   -270.62    420.95
  451      8.57      7.63      49.22      40.54         -0.75   49.54   23.31   10.0    603.19   2409.65
  452     14.11     14.29      64.84      46.50          0.75   41.84   46.63   15.0   -211.73    736.05
  453     11.53      8.44      58.65      36.41         -1.26   74.05   53.02    6.0     47.11    445.25
  454      8.16      5.59      55.10      38.69         -1.39   66.00   24.00   15.0    478.53   1718.59
  455     10.97      8.91      45.62      47.87         -0.69   65.08   46.85   21.0     12.64    252.23
  456     12.34     12.48      45.04      45.36          1.59   53.63   57.74    6.0     59.67    100.99
  457     10.78     10.95      50.82      53.05         -1.21   34.23   54.64    5.0    -89.83    446.71
  458     17.36     14.87      56.95      47.00         -0.99   62.50   65.00    1.0    133.54    384.46
  459      6.20      6.20      57.50      44.40         -0.87   46.69   55.78    9.0    -27.94     62.02
  460     10.55      8.20      60.42      35.88         -0.36   57.50   52.50    7.0     96.94    218.74
  461      6.72      8.39      61.31      40.60          0.00   70.80   24.20    5.0    555.79   2027.91
  462     11.05     11.00      68.64      46.69          0.38   64.97   31.33   15.0    506.72   2187.64
  463     13.50     12.65      46.50      38.21          0.56   73.50   45.64   12.0   -202.12    234.12
  464     11.58     14.03      40.62      42.20         -0.55   35.83   26.67    6.0    505.62   2254.68
  465     12.69     12.28      41.86      50.05          1.29   49.79   31.29    8.0    666.00   2492.78
  466     16.42     13.73      38.95      42.06          0.98   51.86   61.86    5.0    124.12    668.28
  467     12.35     16.72      41.79      44.26          1.08   50.17   53.17    5.0     47.88     12.75
  468     15.32     11.46      40.09      44.17         -0.32   37.50   32.00    7.0    395.55   1625.29
  469     12.46     11.67      53.37      53.26          0.05   31.50   51.50    7.0   -155.16    875.96
  470     14.70      9.17      44.95      49.88          0.27   63.45   64.27   11.0    -18.81    353.83
  471     11.38      9.83      46.47      38.36          1.28   51.97   61.06   16.0    226.85    819.08
  472      6.97      5.53      42.42      37.04         -1.30   56.17   26.67    6.0    304.07   1072.12
  473     13.56     12.13      38.43      32.03         -0.66   49.20   27.90    5.0    165.39    459.88
  474     12.51      9.68      35.60      37.79          0.83   28.48   28.26   10.0    275.34   1360.41
  475     17.42     13.65      47.62      33.44         -0.37   28.29   26.43    4.0     13.72   1403.23
  476      6.01     10.70      48.43      35.03          1.00   38.33   39.73   12.0    -14.81    152.70
  477     15.85     17.97      42.07      36.48          0.71   57.64   32.60   14.0    116.26    421.66
  478     14.00     14.11      53.80      43.79          0.02   31.75   42.75    4.0   -171.15    811.93
  479     16.16     11.90      57.49      42.41          0.50   54.40   53.80    6.0     47.11     24.72
  480      8.76      5.78      41.58      37.86         -0.84   67.45   49.36   21.0   -170.82    355.05
  481     11.50     11.60      44.84      45.09         -0.28   31.00   49.75    8.0    -68.55    216.42
  482     18.83     14.07      43.45      37.86          0.05   38.52   51.17   19.0     46.89     72.44
  483     13.79     11.90      44.25      38.81          1.41   31.00   29.50   11.0    189.96   1514.89
  484     11.35     10.93      50.44      39.51          1.25   35.52   28.36    9.0    219.57   1854.09
  485     12.00      8.95      65.06      41.66          0.38   40.93   45.77   10.0   -281.70    481.23
  486      6.85      5.93      69.57      43.06         -1.06   76.75   50.00    7.0     54.52     -0.67
  487      7.52      5.24      68.30      52.51         -1.30   80.64   54.09    8.0     61.02    119.38
  488     11.42      9.24      55.28      38.87         -0.41   78.90   52.83   11.0   -108.05    442.54
  489     13.22     10.76      47.92      44.84         -0.52   64.69   29.06   18.0    464.59   1800.40
  490     11.37     10.22      59.51      35.32         -1.25   40.00   48.67   15.0   -166.63    180.75
  491      8.62      7.33      71.64      40.66          1.54   71.18   25.18    5.0    528.13   2112.55
  492     12.13      9.37      49.51      39.86         -1.05   83.22   50.89    8.0   -367.87    543.37
  493     17.04     12.76      44.22      40.65         -0.34   59.50   28.00    8.0    364.02   1353.58
  494     16.73     13.09      48.95      34.81         -0.07   33.72   50.55    8.0    -58.36    196.36
  495      9.28      8.19      59.40      41.06          0.44   38.50   45.50   12.0   -205.13    378.04
  496     11.36     11.17      64.62      35.30          0.06   50.91   50.55    7.0    -38.87    168.24
  497     10.16      6.98      66.52      47.51         -0.95   73.14   26.81   15.0    761.51   2912.33
  498     13.67     11.33      50.00      48.44         -1.16   73.62   51.10   20.0   -105.18    167.51
  499      5.65      4.45      45.40      42.71          1.44   58.50   36.00    5.0    206.52    674.49
  500      8.60      8.49      49.92      44.97         -1.01   37.43   50.33   12.0    -51.60    164.96
  501      7.93      6.79      44.61      46.01         -0.89   57.81   34.28   12.0    353.26   1252.47
  502     12.70     10.05      48.37      41.90         -0.83   52.65   56.02    8.0     86.05    135.34
  503      8.65      7.66      48.26      39.64         -0.97   57.86   30.14    5.0    309.44   1014.45
  504      8.81      7.45      47.85      39.96         -0.43   57.00   29.12    8.0    353.36   1189.82
  505     11.62      8.93      44.65      46.44          0.13   58.08   29.88   17.0    533.12   1980.90
  506      8.59      7.00      40.93      42.34         -0.93   39.00   34.00    8.0    279.90   1073.05
  507     15.87     17.68      48.97      41.21         -0.71   30.12   31.75    6.0     91.68   1735.80
  508     10.94      8.95      47.43      46.99          0.64   37.33   52.67    5.0    -19.97    118.38
  509     32.23     22.58      33.25      52.10         -1.11   40.10   53.16   20.0     99.09    148.59
  510     19.87     15.10      56.04      42.43          0.18   37.90   50.34   15.0   -158.45    185.63
  511     11.61     10.30      59.88      36.04          0.21   45.67   52.33    7.0    -34.15    211.11
  512     10.15      8.22      50.25      44.40         -0.08   68.67   31.33    9.0    338.93   1377.02
  513     10.07      7.94      56.24      44.10          1.06   56.13   33.69   14.0    349.13   1306.68
  514      6.34      6.89      65.40      47.01          0.14   44.33   55.67   15.0   -221.91    225.14
  515     14.33     11.16      61.59      44.95         -0.98   77.00   48.50    7.0     11.44     75.04
  516     11.11      7.89      52.55      43.47          0.13   74.00   54.50   13.0    -88.62    236.85
  517     16.75     13.68      52.99      36.70         -1.03   63.89   35.17    8.0    115.82    274.78
  518      9.02      7.16      58.97      51.78         -0.44   41.67   48.33    3.0    -25.43    907.08
  519     17.61     13.49      58.03      47.73         -0.25   66.85   63.50    8.0     90.30    274.12
  520     11.43      8.30      50.68      41.55         -0.15   69.44   58.56    6.0      8.95    550.32
  521      7.69      6.38      56.47      44.21         -0.62   40.69   51.19   21.0   -111.77    167.89
  522     11.55     10.01      66.08      45.42         -0.36   44.25   55.25   16.0   -238.03    219.25
  523     16.23     13.36      67.00      33.53         -0.55   77.83   48.83    8.0     72.57    274.30
  524      9.37      6.61      50.99      44.01         -0.17   78.80   32.40    5.0    114.79   1150.28
  525     12.34     11.68      61.02      35.53         -1.30   41.62   51.72   11.0   -134.09    249.88
  526     11.08      8.42      59.66      37.59          0.97   71.60   24.70   13.0    404.15   1430.58
  527     15.13     13.66      51.40      38.90          1.12   69.76   45.24   16.0    -42.38     80.19
  528      8.96      9.82      53.84      47.53          1.07   41.00   48.59   15.0    -19.72    397.79
  529     17.86     13.02      46.60      42.53         -0.91   64.90   57.65    8.0     -8.31    397.81
  530      7.75      5.60      49.95      41.79          0.84   37.92   51.58    8.0    -50.81     69.48
  531     13.41     10.30      59.24      39.83         -0.04   47.50   51.56   10.0    -38.97     73.54
  532     11.10      9.13      51.43      39.60         -0.84   69.92   29.33   10.0    244.40   1020.16
  533      7.60      6.38      49.11      41.75          0.16   58.89   30.60   19.0    359.80   1221.32
  534     12.56     11.58      48.14      35.90          0.35   58.54   52.25    2.0     88.50    335.89
  535      7.50      6.99      47.66      34.18         -0.25   37.00   47.00    8.0    -17.05     81.96
  536      5.42      4.09      44.43      31.55         -0.26   57.29   23.74   16.0    237.20    786.67
  537      8.34      6.55      54.19      29.81          1.44   38.43   42.17   18.0    -99.76    121.04
  538      6.90      6.48      57.05      43.01         -0.74   64.23   31.87   12.0    371.79   1261.57
  539      9.51      9.33      62.97      42.46          0.20   45.64   52.71    6.0   -139.42    136.61
  540     11.70      8.63      60.26      36.98          0.90   75.00   49.50    3.0     12.58    184.59
  541     10.75      5.59      67.57      45.74         -0.43   48.33   25.33    7.0    508.91   3860.62
  542     10.63      9.06      62.67      41.55          1.13   78.77   52.33   12.0    -12.05    135.66
  543     18.26     14.42      50.00      42.37         -1.49   72.45   51.26   11.0   -111.41    181.68
  544     16.35     15.75      55.01      32.42          1.32   41.58   52.84    9.0     47.00    443.87
  545     12.85     11.29      46.48      37.98         -1.36   66.75   43.25    5.0    -66.18    101.77
  546     11.37      8.86      48.98      35.91         -0.54   36.47   26.67    6.0    199.45   1481.07
  547     10.95      7.83      52.05      36.51          1.07   38.00   24.57    4.0    260.39   1949.78
  548     15.26     13.00      48.55      32.26          1.25   41.29   46.38   12.0     33.28    101.58
  549     14.14     14.39      60.27      36.32          0.12   40.19   34.81    8.0   -118.26    795.43
  550     13.59     10.96      61.25      35.60          0.13   70.22   47.56    4.0     55.06     89.07
  551     11.68      9.58      55.27      38.22          0.12   68.60   47.20    4.0     13.12     53.80
  552      9.50      7.50      58.99      43.19          0.22   64.40   26.30   15.0    591.50   2207.25
  553     14.04     11.36      61.40      34.53          0.55   49.07   53.15    8.0     30.50    322.82
  554     16.77     12.41      52.93      35.53         -0.02   71.20   41.91   11.0    -41.13     79.19
  555     10.61      8.64      56.57      30.46          1.07   61.32   44.28   16.0     82.85    126.01
  556      8.28      6.82      54.05      48.57          1.46   67.50   32.07   12.0    530.32   1969.90
  557     14.17     11.04      57.90      45.95          1.22   45.59   55.33   15.0    -55.67     74.83
  558     16.06      9.96      53.46      50.50          1.16   65.75   35.48   12.0    480.89   1747.59
  559     11.25     11.30      68.35      38.56         -1.16   47.69   54.27   12.0   -167.74    248.15
  560     10.57      8.51      63.41      36.63          1.04   78.41   47.81    8.0      2.27    133.91
  561     14.98     19.51      51.42      39.10          0.74   72.25   45.64   19.0    -80.73    113.56
  562      6.23      4.40      45.16      39.34         -0.56   62.80   28.40    5.0    277.32   1106.79
  563     12.48     10.62      55.90      33.51          1.51   43.59   48.59   17.0    -19.05    154.01
  564      8.55      6.24      46.51      49.37          0.29   65.61   32.76    8.0    466.93   1903.69
  565      9.59      7.97      62.80      41.64          0.45   40.32   54.93   14.0   -235.30    224.87
  566     19.89     15.24      63.59      41.40         -0.47   74.83   48.83    5.0     31.24     18.73
  567      7.72      8.24      62.89      41.52          0.32   75.22   49.11    5.0     22.36     27.59
  568      7.71      6.24      67.00      38.64         -1.13   59.17   53.67    8.0     36.78    135.62
  569      7.57      9.06      64.56      49.99         -0.49   76.63   36.67    9.0    418.55   1491.12
  570      8.53      8.54      64.63      40.91          0.68   53.62   60.88    5.0     73.58    411.70
  571      8.75      6.80      61.62      40.48          0.46   76.62   48.00    5.0     -3.37     51.13
  572     13.05     11.10      46.16      45.27         -0.19   71.80   48.16   16.0   -147.60    191.23
  573     11.64     16.31      44.50      39.55          0.53   54.08   56.20    9.0     97.52    343.73
  574     15.63     10.73      56.55      40.90         -1.05   36.54   50.33   12.0   -197.18    190.39
  575      8.66      7.09      60.43      40.08          0.00   55.29   52.57    7.0     39.14     51.18
  576      6.16      7.30      52.37      42.93         -0.18   70.82   29.00    5.0    370.25   1499.14
  577     15.02     11.75      51.99      31.97          1.37   62.56   54.44    6.0    199.19    898.18
  578     13.11     11.53      58.26      45.81          1.32   41.05   38.41    9.0     67.45   1381.56
  579      7.32      5.42      46.63      40.99          0.91   70.00   51.50    7.0   -124.95    254.09
  580     13.39     10.49      52.48      36.01         -0.33   55.65   51.12    7.0     96.64    174.74
  581     10.34     10.60      49.45      37.89         -0.40   60.22   24.74    8.0    422.12   1486.41
  582      9.28      8.01      54.76      41.47         -0.46   40.12   48.08    8.0    -90.81    159.13
  583      9.65      8.29      52.98      42.11         -1.01   44.93   47.96    7.0      3.28     86.70
  584      9.48      9.06      56.65      36.41          0.47   44.59   52.00   15.0     -9.62    171.21
  585     15.94     10.13      55.01      32.95         -0.11   66.89   45.78    6.0     41.57    157.46
  586      7.28      5.82      57.61      40.62          1.13   43.57   42.43   16.0    -47.35    373.45
  587      7.44      5.86      54.25      47.33         -0.58   68.72   31.39   19.0    497.08   1859.56
  588     11.36      9.26      47.40      38.00         -0.95   64.05   54.07    8.0     24.91    429.85
  589     11.67      9.36      48.47      41.51          0.57   56.00   26.71    5.0    500.74   1799.89
  590      9.10      6.72      49.84      44.76          0.24   56.48   30.92   16.0    467.75   1666.83
  591     20.38     12.80      56.00      28.54          1.33   40.10   53.95   10.0    125.85    888.12
  592     15.78     13.24      45.82      38.75         -1.56   64.94   34.44   21.0     78.96    451.54
  593      8.46      7.34      49.34      40.89         -0.69   35.69   27.85    6.0    305.37   2122.04
  594     12.45     12.70      49.05      35.05          0.39   59.54   52.00    5.0     96.00    379.70
  595     11.28      9.90      45.48      32.66         -1.39   37.67   46.33    2.0     23.59     89.28
  596      7.63      8.96      52.49      42.83         -0.59   39.50   44.50    7.0    -29.19    360.51
  597     16.19     12.33      65.71      42.37          0.51   48.66   46.60   21.0   -122.80    300.04
  598     12.63     12.62      56.94      34.16         -1.58   76.72   49.32   10.0    -29.68    433.21
  599     13.05     10.50      53.74      27.86          1.16   61.67   25.67    9.0    143.92    332.93
  600     12.01      8.04      51.18      44.80          0.31   64.30   30.90   13.0    430.82   1561.08
  601     13.30     11.55      52.33      41.76         -0.04   58.62   55.82   10.0     81.86    150.25
  602     16.93     12.93      59.04      42.93          0.07   43.89   49.68   11.0    -99.96    163.27
  603     12.11     10.13      65.75      41.70         -0.91   70.33   54.33    2.0     73.53     77.48
  604     10.17      8.62      67.94      45.58         -1.18   78.00   49.00    8.0     59.48     57.80
  605     13.03     10.90      62.00      32.25          0.44   79.00   48.00    7.0     16.48    414.35
  606     16.11     15.75      50.29      42.99          0.33   71.57   40.57   17.0      7.67    335.17
  607     10.79      8.40      58.87      30.12         -1.28   44.25   48.19   10.0    -14.89    298.18
  608     17.11     10.87      55.46      41.14         -1.00   70.38   34.88   13.0    177.24    621.05
  609     10.27      8.74      55.65      41.07          0.22   62.48   29.94    8.0    372.69   1266.46
  610      9.71      7.62      60.57      39.48          1.07   45.52   50.72   10.0    -93.73    104.40
  611     17.56     15.32      48.92      41.51         -0.63   70.02   45.07   18.0    -68.12    124.21
  612     11.12      2.29      56.14      41.94          0.72   39.09   48.62   13.0   -134.67    200.16
  613     11.25      8.34      61.14      34.00          1.16   48.99   50.54    6.0      1.16    211.85
  614     15.35     11.74      48.99      29.29         -1.39   71.00   44.38   10.0    -67.22    480.88
  615     16.66     12.17      52.14      42.07         -0.79   51.26   19.39   14.0    856.49   3586.67
  616      6.18      4.83      54.82      31.66         -0.43   63.67   49.67    6.0    121.74    433.71
  617      7.06      5.74      56.81      36.36         -1.20   64.00   22.85    8.0    453.86   1604.86
  618     10.33      7.71      50.09      37.76          0.06   64.00   24.50    7.0    399.70   1455.43
  619      9.04      7.66      63.97      38.58         -0.72   42.00   50.00   17.0   -235.44    208.71
  620     14.43     17.44      53.71      37.14          0.57   71.84   45.24   20.0    -42.86     95.75
  621     13.79     10.21      59.37      38.00          0.30   60.58   26.50   14.0    387.69   1430.74
  622     15.74     13.82      52.30      40.23          0.33   69.09   46.24   11.0    -20.07     62.21
  623      9.48      7.63      48.51      42.22          0.09   59.64   29.19   14.0    415.19   1462.67
  624      7.18      5.53      61.51      28.09         -0.92   44.60   49.15   14.0     -0.64    496.79
  625      9.87      8.52      57.60      39.50          0.73   72.00   26.22    5.0    395.50   1451.80
  626      8.18      7.03      60.44      40.50         -0.46   66.56   28.56    9.0    401.70   1392.73
  627     17.13     16.48      49.26      36.97         -0.43   68.60   47.43   12.0    -56.97    175.71
  628     10.87      8.62      47.27      34.94          0.70   51.00   48.00    7.0     77.30     87.47
